dorian gray with rainbow scarf #lovewins (from <atToken>  ,0
<atToken> <atToken> ... replace with your wish which the artist uses in next installation! it was entralling!,0
<atToken> thank you for following me back. great to hear from a diverse &amp; interesting panel #defeatingdepression <atToken>,0
<atToken> <atToken> what a beautiful jewel / portrait. is the 'r' for rex ?,0
<atToken> <atToken> i have always loved this painting.,0
<atToken> say wot mate?,0
two workshops on evaluating audience engagement <atToken> + <atToken> early july  ,0
a forest road by thomas gainsborough 1750 oil on canvas (<atToken>) ,0
lucky <atToken>! good luck <atToken> &amp; see you soon :) <atToken> <atToken>,0
1...2... non arrte mon brush!. l.alma|a favourite custom|1909 <atToken> #bonlundi ,0
the two works in our free #ducciocaro exhibition play with space movement and architect...  via <atToken>,0
yr 9 art students are off to the <atToken> today. enjoy!,0
<atToken> indeed,0
<atToken>: more #waterloo200? live #periscope tonight with dan snow <atToken> in #bonaparteandthebritish ,0
<atToken> please vote for us as <atToken> #sidwell's local charity prt  ,0
#askthegallery have you got plans to privatise any other roles <atToken> ?,0
new digital installation by girton artist in residence <atToken> will be projected on the faade of the <atToken> tonight from 9pm!,0
<atToken> <atToken> so beautiful,0
i'm with (with sussanna at <atToken>) [pic]  ,0
<atToken> awesome museum,0
<atToken> #askthegallery why do you pay your brilliant staff so poorly?,0
a sneak peek <atToken> #indigenousaustralia exhibition ,0
couldn't agree more ; counting the days till we see <atToken> again ! ,0
#bennicholson <atToken>  ,0
<atToken> <atToken> of course! #instamuseum,0
<atToken> soo beautiful,0
<atToken> i do i do i do. :),0
<atToken> one of my favourite paintings! he was a great artist,0
free cpd afternoon for <atToken>'s 2016 'war games' exhibition on thurs 2 jul from 4pm #plymouth. details at ,0
the magna carta exhibition <atToken> was quite extraordinary. very imaginatively done. even a bit of tony hancock in there!,0
over 100 people signed up for 'what's it worth?' <atToken>! don't miss out book now! #cdavalue #phdchat #ahrc10 ,0
<atToken> <atToken>,0
kudos <atToken> for a top-flight wc exhibition!,0
jack from <atToken> blogs about how #museums can keep up with tech &amp; youngsters its all in the collection - ,0
<atToken> <atToken> <atToken> ,0
<atToken> <atToken> <atToken> <atToken> ooh... please let us know how it is!!!,0
i miss cornwall so much. #ff <atToken> <atToken> <atToken> <atToken> <atToken> <atToken> <atToken>,0
10 off <atToken>  membership plus offers from <atToken>  <atToken> with <atToken> ,0
<atToken> <atToken> spain? egypt?,0
enjoying the amazing collections <atToken> with the family ,0
dwen's brooch - story of an #anglosaxon lady filmed at <atToken> for <atToken> &amp; <atToken> exhibition ,0
<atToken> beautiful painting.  thank you.,0
#definingbeauty <atToken> a truly breathtaking exhibition.fascinating on portrayals of women ,0
<atToken> <atToken> <atToken> <atToken> <atToken> <atToken> haha not in my case...,0
the great court of the <atToken> #london. #photography ,0
<atToken> ,0
<atToken> it's one of them things innit?,0
discover the arts with social media: noho co-founder rod mcintosh on noho origins*  <atToken> #london #art,0
<atToken> thank you for the favourite following you back your mum <atToken> did a great job at #defeatingdepression <atToken>,0
treats for the end of june <atToken> followed by #jacksonpollock <atToken> *perfect summer*,0
<atToken> is this ivana moonlighting? <atToken> #hepworth ,0
<atToken> <atToken> one of the best places in the country.,0
<atToken> <atToken> rosetta stone,0
gemma is visiting australia today but has failed to find a hemsworth. keep trying! #austriangp <atToken> #oz ,0
<atToken> <atToken> awwh - possum!,0
only two more weeks to see our exhibition on roman food <atToken> - stunning objects from <atToken>  <atToken> &amp; corinium,0
wonderful experience hearing tim knoxs #objects2015 keynote on contents &amp; decor of uk country houses in gallery 3 of <atToken>!,0
a little bit of #waterloo1815 history <atToken> <atToken> today ,0
hooray! <atToken> wins evolver prize 2015! see it at <atToken> from 4 july. ,0
fabulous enid blyton exhibition <atToken>. great for kids of all ages! <atToken> ,0
castle hill open day starts at 12. art dance family activities tours talks a nuclear bunker and more <atToken> #castlehill15,0
<atToken> <atToken> how was the battle controlled? drumsmessages? did regiments respond to the wrong drummers or instructions?,0
<atToken> coffin for babies?,0
<atToken> important art and true culture to effectively counter the culture of violence ,0
alla buon ora... ti ho trovato finalmente... (at <atToken> in london greater london) ,0
<atToken> enid blyton exhib'n opens <atToken> wed 17 june! we've been helping set up  ,0
kettle's yard: antimuseum - meet the archivist is buzzing! #castlehill15 <atToken> #explorearchives ,0
lot more i can do with 13.5m: director of <atToken> confirms they are not trying to buy export ban cezanne ,0
a week writing reports about reports suddenly brightened by the thought of #definingbeauty at <atToken> tomorrow with <atToken>,0
la fama viene y va... <atToken> <atToken> ,0
samba time! <atToken> <atToken> #discoveryday ,0
<atToken> the 2nd genocide against #biafrans as promised by #buhari has begun3days of unreported aerial bombardment in #biafraland,0
lots of ancient artefacts to enjoy <atToken> #amazingplace #toomuchforaquickvisit ,0
i'm at <atToken> in london greater london ,0
st george slaying the dragon. german. 15th century. <atToken>. painted wooden church statuette ,0
plus excellent prizes from the <atToken>  ,0
feliz cumpleaosrubens! happy birthdayrubens! <atToken>  ,0
behind the walls <atToken> ,0
<atToken> <atToken> <atToken> midweek is better for me girls x,0
see christopher williams - the production line of happiness - via <atToken>  ,0
. <atToken> what message does oil sponsorship of the arts send to those ngotiating a climate deal in paris this year #askthegallery,0
<atToken>  unesco-veneto-the opera una nuova idea di bellezza per l'italia e il mondo su ,0
big pocket required rt <atToken> ancient roman version of swiss army knife 3rd century ce at <atToken>. ,0
mps are to debate <atToken> privatisation tomorrow as #pcs strikes continue  ask your mp to attend,0
i love museums  via <atToken> <atToken> <atToken>,0
.<atToken> can you attend adjournment debate tomorrow #noprivatisation <atToken> #reinstatecandy <atToken> <atToken>,0
<atToken> <atToken> ,0
