<atToken> i know  i was listenin to bad habit earlier and i started freakin at his part =[,0
Layin n bed with a headache  ughhhh...waitin on your call...,-1
Funeral ceremony...gloomy friday...,-1
wants to hang out with friends SOON!,0
<atToken> We want to trade with someone who has Houston tickets,0
Re-pinging <atToken>: why didn't you go to prom? BC my bf didn't like my friends,-1
I should be sleep,-1
Hmmm.  is down,-1
<atToken> Charlene my love. I miss you,-1
<atToken> I'm sorry  at least it's Friday?,-1
cant fall asleep,0
Choked on her retainers,-1
Ugh! I have to beat this stupid song to get to the next  rude!,-1
<atToken> if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,-1
Got the news,0
The storm is here and the electricity is gone,-1
<atToken> agreed,1
So sleepy again and it's not even that late. I fail once again.,-1
<atToken> lady gaga tweeted about not being impressed by her video leaking just so you know,-1
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,-1
<atToken> oh too bad! I hope it gets better. I've been having sleep issues lately too,-1
Wondering why I'm awake at 7am,0
No Topic Maps talks at the Balisage Markup Conference 2009   Program online at  (via <atToken>) #topicmaps,0
I ate Something I don't know what it is... Why do I keep Telling things about food,-1
so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,-1
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,-1
<atToken>  i'm sorry people are so rude to you,-1
Damm servers still down  i need to hit 80 before all the koxpers pass me,-1
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,-1
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,-1
It is so annoying when she starts typing on her computer in the middle of the night!,0
<atToken> i cant sleep,0
I missed the bl***y bus!!!!!!!!,0
feels strong contractions but wants to go out.  ,0
SoCal!  stoked. or maybe not.. tomorrow,0
Screw you <atToken>! I only have 3 weeks...,0
<atToken> yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,-1
I need skott right now,-1
has work this afternoon,0
<atToken> Aw you would not unfollow me would you? Then I would cry,0
mmm much better day... so far! it's still quite early. last day of #uds,1
<atToken> &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,0
just picked up her Blackberry from the middle of the street! Both she and it are crushed!,-1
Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,-1
<atToken> middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,0
Bed!!!!!... its time,-1
<atToken> Ahh.  ... Well,-1
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,-1
<atToken>,0
wnna take a bath!!!!,0
Chocolate milk is so much better through a straw. I lack said straw,0
why am i so tired?,-1
<atToken> hey yu lil fucker i textd yu,0
<atToken> time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,0
<atToken>  no way! damn that sucks B!  are you ok?,0
sucks not being able to take days off of work or have the money to take the trip  so sad,-1
bed...sorta. today was good,0
<atToken> the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,0
<atToken> But I got dibs on Sulu...,0
<atToken> Aww  Onward and upwards now,-1
<atToken> at once haha.  poor aby still gets sore!,-1
diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,-1
I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,-1
<atToken>  in all honesty...pain   blech.,-1
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,-1
At home alone with not much to do,0
<atToken> ia so much! i haven't really been happy with any of cooks choices for singles.,-1
<atToken> <atToken>  i fell asleep on the beach and didn't put on enough sunscreen  lol,-1
